,NewsID,Title,Link,Source,StartDate,EndDate,Label
2046,2047,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",https://www.politifact.com/factchecks/2019/mar/26/terry-mcauliffe/mcauliffe-claim-record-k-12-spending-misleading/,Terry McAuliffe," January 24, 2"," March 26, 2019",barely-true
2047,2048,"Shows a photo of two similar Wall Street Journal newspapers with different headlines about President Donald Trump, and describes the editions as, ""Same paper, same dates, different markets. What did you just learn? Feeling manipulated yet?""",https://www.politifact.com/factchecks/2019/mar/26/viral-image/did-wall-street-journal-run-two-different-headline/,Viral image," March 18, 201"," March 26, 2019",FALSE
2048,2049,"Says a photograph of Harriet Tubman shows she was a ""gun-toting, Democrat-shooting, 2nd Amendment-supporting Republican.""",https://www.politifact.com/factchecks/2019/mar/25/facebook-posts/no-harriet-tubman-wasnt-gun-toting-republican-who-/,Facebook posts," March 17, 201"," March 25, 2019",FALSE
2049,2050,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption.""",https://www.politifact.com/factchecks/2019/mar/25/john-hickenlooper/did-spike-marijuana-use-colorado-after-legal/,John Hickenlooper," March 20, 201"," March 25, 2019",half-true
2050,2051,"""Nationally, they predict prison populations on the basis of third-grade achievement.""",https://www.politifact.com/factchecks/2019/mar/24/toni-preckwinkle/preckwinkle-repeats-urban-myth-about-third-grade-t/,Toni Preckwinkle," March 19, 201"," March 24, 2019",FALSE
2051,2052,"There’s been a ""20 percent increase in young people coming back to Buffalo after a decade where we lost 10 percent of our young people.""",https://www.politifact.com/factchecks/2019/mar/23/andrew-cuomo/cuomo-claims-buffalo-has-seen-surge-young-people/,Andrew Cuomo," March 12, 201"," March 23, 2019",half-true
2052,2053,"""I was the first elected Republican in Williamson County history.""",https://www.politifact.com/factchecks/2019/mar/22/john-carter/who-was-first-republican-elected-williamson-county/,John Carter," February 18, "," March 22, 2019",half-true
2053,2054,"""We could build 30 walls with the $150 billion Obama gave to Iran.""",https://www.politifact.com/factchecks/2019/mar/22/blog-posting/bad-math-iran-nuke-deal-dollars-wouldnt-cover-30-w/,Bloggers," March 21, 201"," March 22, 2019",FALSE
2054,2055,"""Right now, only 11 percent of the 15,000 child care providers in Texas are certified as meeting quality standards.""",https://www.politifact.com/factchecks/2019/mar/22/children-risk/how-many-texas-childcare-providers-meet-quality-st/,Children at Risk," March 19, 201"," March 22, 2019",mostly-true
2055,2056,"Quotes Albert Einstein as saying ""I fear the day technology will surpass human interaction. The world will have a generation of idiots.""",https://www.politifact.com/factchecks/2019/mar/22/facebook-posts/no-albert-einstein-did-not-say-technology-would-cr/,Facebook posts," March 19, 201"," March 22, 2019",pants-fire
2056,2057,"During her tenure as county attorney in Minnesota, ""there was a 65 percent decrease in incarceration of African-Americans.""",https://www.politifact.com/factchecks/2019/mar/22/amy-klobuchar/did-african-american-incarceration-drop-65-under-a/,Amy Klobuchar," March 17, 201"," March 22, 2019",FALSE
2057,2058,"""We are always going to need architects, doctors, we’re going to need professionals with four-year degrees. But 65 to 70 percent of the people in Missouri don’t have degrees.""",https://www.politifact.com/factchecks/2019/mar/22/mike-parson/do-65-75-missourians-not-have-college-degrees/,Mike Parson," January 24, 2"," March 22, 2019",TRUE
2058,2059,"""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""",https://www.politifact.com/factchecks/2019/mar/21/john-nygren/john-nygren-says-wisconsin-republicans-have-cut-ta/,John Nygren," February 12, "," March 21, 2019",TRUE
2059,2060,"""America came along as the first country to end (slavery) within 150 years.""",https://www.politifact.com/factchecks/2019/mar/21/katie-pavlich/conservative-pundit-gets-schooled-history-american/,Katie Pavlich," March 19, 201"," March 21, 2019",FALSE
2060,2061,"""Farmer suicide rates are as high as they have been since the Great Depression.""",https://www.politifact.com/factchecks/2019/mar/21/cory-booker/farmer-suicides-high-great-depression-no-data-says/,Cory Booker," March 18, 201"," March 21, 2019",FALSE
2061,2062,"""College debt has increased 170 percent since 2006 and now exceeds $1.5 trillion dollars, which is second only to mortgage debt and surpasses even credit card debt.""",https://www.politifact.com/factchecks/2019/mar/21/kamala-harris/kamala-harris-gets-it-mostly-right-americas-rapid-/,Kamala Harris," March 6, 2019"," March 21, 2019",mostly-true
2062,2063,Says the Looney Tunes cartoon character Yosemite Sam was banned from television for being too violent.,https://www.politifact.com/factchecks/2019/mar/21/facebook-posts/no-yosemite-sam-was-not-banned-television-being-to/,Facebook posts," March 18, 201"," March 21, 2019",FALSE
2063,2064,"""We have flown a Boeing 737 across the Atlantic Ocean on biofuels. We have flown F-18s.""",https://www.politifact.com/factchecks/2019/mar/21/jay-inslee/fact-checking-climate-change-crusader-jay-inlees-m/,Jay Inslee," March 19, 201"," March 21, 2019",mostly-true
2064,2065,"Says Beto O'Rourke ""gave the remaining $4.5+ mill from his Senate race to (the Texas Democratic Party) a few months ago, & the Party sent the money back to him on the day of his announcement.""",https://www.politifact.com/factchecks/2019/mar/20/tweets/no-texas-democratic-party-did-not-give-beto-orourk/,Tweets," March 18, 201"," March 20, 2019",pants-fire
2065,2066,"Says President Donald Trump’s fiscal year 2023 budget ""slashes investments in health care to pay for tax cuts to billionaires.""",https://www.politifact.com/factchecks/2019/mar/20/julian-castro/fact-checking-julian-castros-claim-about-trump-202/,Julián Castro," March 12, 201"," March 20, 2019",half-true
2066,2067,"""Now there is a new threat that we’re seeing up close: the risk of exposure to powerful drugs that can kill in even tiny amounts.""",https://www.politifact.com/factchecks/2019/mar/20/matthew-birmingham/vermonts-police-chief-said-cops-risk-death-opioid-/,Matthew Birmingham," March 16, 201"," March 20, 2019",FALSE
2067,2068,Position on Trump’s national emergency declaration for border wall funding,https://www.politifact.com/factchecks/2019/mar/20/thom-tillis/supporting-trump-tillis-completely-reverses-course/,Thom Tillis," March 14, 201"," March 20, 2019",full-flop
2068,2069,"''Over 40 percent of African-American men in (Milwaukee County) have been going to prison for low-level drug offenses, and I think a hundred times that in the city of Madison.""",https://www.politifact.com/factchecks/2019/mar/19/david-crowley/state-rep-david-crowley-misfires-claim-african-ame/,David Crowley," February 24, "," March 19, 2019",FALSE
2069,2070,"""Nearly half of public school teachers in Texas are working a second or a third job, not for kicks, not for extra spending cash, but just to make ends meet.""",https://www.politifact.com/factchecks/2019/mar/19/beto-orourke/beto-orourke-claims-nearly-half-texas-public-schoo/,Beto O'Rourke," March 14, 201"," March 19, 2019",half-true
2070,2071,On tax increases.,https://www.politifact.com/factchecks/2019/mar/19/levar-stoney/has-mayor-levar-stoney-flip-flopped-raising-taxes/,Levar Stoney," March 6, 2019"," March 19, 2019",half-flip
2071,2072,"Florida drivers who have their cell phones ""in hand"" can be ticketed $250 and sent to ""driving school.""",https://www.politifact.com/factchecks/2019/mar/18/facebook-posts/no-florida-drivers-who-have-phone-hand-will-not-be/,Facebook posts," March 13, 201"," March 18, 2019",FALSE
2072,2073,"""We pay far more for health care than any other country in the world, yet we have far worse outcomes than any other country in the world.""",https://www.politifact.com/factchecks/2019/mar/18/tulsi-gabbard/yes-americans-spend-ton-health-care-worst-outcomes/,Tulsi Gabbard," March 10, 201"," March 18, 2019",mostly-true
2073,2074,"Says that ""despite the tremendous amounts of money that have gone into it, only 400 family (housing) units have been created"" in the last 12 years through Chicago’s Affordable Requirements Ordinance.",https://www.politifact.com/factchecks/2019/mar/17/toni-preckwinkle/preckwinkle-undersells-affordable-housing-programs/,Toni Preckwinkle," March 12, 201"," March 17, 2019",barely-true
2074,2075,"Says the University of Missouri ""has been cleared of involvement"" in academic fraud involving student athletes.",https://www.politifact.com/factchecks/2019/mar/16/vicky-hartzler/hartzlers-claim-about-mus-ncaa-sanctions-requires-/,Vicky Hartzler," February 1, 2"," March 16, 2019",half-true
2075,2076,"I received ""more votes from young people ?black, white, Latino, Asian American and Native American ?than Donald Trump and Hillary Clinton combined.""",https://www.politifact.com/factchecks/2019/mar/16/bernie-sanders/did-sanders-get-more-primary-votes-young-minoritie/,Bernie Sanders," March 10, 201"," March 15, 2019",mostly-true
2076,2077,"""Seismic airgun blasting (used for energy exploration) is ... 16,000 times louder than"" a conventional airhorn.",https://www.politifact.com/factchecks/2019/mar/15/joe-cunningham/yes-airguns-used-oil-gas-exploration-are-16000-tim/,Joe Cunningham," March 7, 2019"," March 15, 2019",mostly-true
2077,2078,"A photograph shows Beto O’Rourke nearly nude with the words ""feminist,"" ""atheist"" and ""slut"" on his body.",https://www.politifact.com/factchecks/2019/mar/15/viral-image/no-isnt-photo-beto-orourke/,Viral image," March 14, 201"," March 15, 2019",pants-fire
2078,2079,"Says Prince invested in Nike in 1971, recruited Michael Jordan to the company in 1983 and designed the first Air Jordans.",https://www.politifact.com/factchecks/2019/mar/15/facebook-posts/no-prince-did-not-invest-nike-or-design-first-air-/,Facebook posts," March 6, 2019"," March 15, 2019",pants-fire
2079,2080,"""Democrats have forced a special election""",https://www.politifact.com/factchecks/2019/mar/15/north-carolina-republican-party/nc-gop-falsely-says-democrats-forced-special-elect/,North Carolina Republican Party," March 12, 201"," March 15, 2019",FALSE
2080,2081,"The sports betting bill would create ""$12.5 million to $30.9 million in additional revenue for the state""",https://www.politifact.com/factchecks/2019/mar/15/denny-hoskins/how-lucrative-would-sports-betting-be-missouri/,Denny Hoskins," February 5, 2"," March 14, 2019",half-true
2081,2082,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",https://www.politifact.com/factchecks/2019/mar/14/kevin-downing/pants-fire-claim-two-courts-backed-trumps-claim-no/,Kevin Downing," March 13, 201"," March 14, 2019",pants-fire
2082,2083,"""The schools in my district don't have a kitchen.""",https://www.politifact.com/factchecks/2019/mar/14/hannah-kelly/do-missouri-schools-severely-disabled-need-kitchen/,Hannah Kelly," January 29, 2"," March 14, 2019",half-true
2083,2084,A photograph shows Joe Biden engaging in disturbing behavior with a boy.,https://www.politifact.com/factchecks/2019/mar/14/viral-image/no-photo-doesnt-show-joe-biden-engaging-disturbing/,Viral image," February 17, "," March 14, 2019",pants-fire
2085,2086,"Says Beto O’Rourke crashed into barriers, ""causing a collision while driving drunk, then fleeing the scene to avoid accountability.""",https://www.politifact.com/factchecks/2019/mar/14/club-growth/beto-orourke-arrested-dwi-flee-scene/,Club for Growth," March 10, 201"," March 14, 2019",mostly-true
2086,2087,"Says Beto O’Rourke perpetuated stereotypes, ""casting aspersions on working women whose ‘only qualifications seemed to be large breasts and tight buttocks?""",https://www.politifact.com/factchecks/2019/mar/14/club-growth/beto-orourke-comments-women-were-published-play-/,Club for Growth," March 10, 201"," March 14, 2019",mostly-true
2087,2088,"Says Beto O’Rourke did his father-in-law’s ""bidding on the El Paso City Council, pushing a downtown redevelopment scheme to bulldoze a poor Hispanic neighborhood while enriching developers like his father-in-law.""",https://www.politifact.com/factchecks/2019/mar/14/club-growth/did-beto-orourke-plan-el-paso-bulldoze-communit/,Club for Growth," March 10, 201"," March 14, 2019",half-true
2088,2089,"California has ""the largest death row in the Western Hemisphere, the largest death row in the United States of America ?two times the size of the next largest state: Florida.""",https://www.politifact.com/factchecks/2019/mar/13/gavin-newsom/somber-statistic-still-true-california-has-largest/,Gavin Newsom," March 13, 201"," March 13, 2019",TRUE
2089,2090,"""Job growth and stock growth for the first two years of Trump are down from where they were (during the) last two years of Obama.""",https://www.politifact.com/factchecks/2019/mar/13/matthew-dowd/did-obamas-final-years-beat-trump-jobs-stock-value/,Matthew Dowd," March 8, 2019"," March 13, 2019",half-true
2090,2091,"""We have developed a wind industry (in Washington state) from zero to $6 billion in 12 years.""",https://www.politifact.com/factchecks/2019/mar/13/jay-inslee/did-washington-state-build-6-billion-wind-farms-ov/,Jay Inslee," March 10, 201"," March 13, 2019",mostly-true
2091,2092,"Says HR 1 would ""legalize"" the kind of fraud found in North Carolina",https://www.politifact.com/factchecks/2019/mar/13/dan-crenshaw/crenshaw-falsely-says-hr1-would-legalize-type-elec/,Dan Crenshaw," March 9, 2019"," March 13, 2019",FALSE
2092,2093,"Says Thomas Jefferson drafted the Declaration of Independence on hemp paper, grew and smoked marijuana, and said ""hemp is of first necessity to the wealth and protection of the country.""",https://www.politifact.com/factchecks/2019/mar/13/facebook-posts/claims-about-thomas-jefferson-and-marijuana-are-mo/,Facebook posts," March 11, 201"," March 13, 2019",barely-true
2093,2094,"In-state tuition available ""for non-U.S. citizens after three years ?veterans have to wait five years.""",https://www.politifact.com/factchecks/2019/mar/13/wisconsin-assembly-republicans/republicans-botch-claim-comparing-tuition-immigran/,Wisconsin Assembly Republicans," March 12, 201"," March 13, 2019",barely-true
2094,2095,"Says Alexandria Ocasio-Cortez said, ""We’ll never have to worry about China attacking us! They are 12 hours ahead, so we’ll have plenty of time to shoot down their missiles!""",https://www.politifact.com/factchecks/2019/mar/13/viral-image/no-alexandria-ocasio-cortez-didnt-say-we-have-time/,Viral image," March 7, 2019"," March 13, 2019",pants-fire
2095,2096,"Says 228 House Democrats voted ""to allow illegal aliens to have right to vote""",https://www.politifact.com/factchecks/2019/mar/13/facebook-posts/no-house-democrats-did-vote-allow-noncitizens-vote/,Facebook posts," March 9, 2019"," March 13, 2019",FALSE
2096,2097,"""Women earn on average 80-cents on the dollar compared to white men doing similar jobs.""",https://www.politifact.com/factchecks/2019/mar/13/bobby-scott/bobby-scott-says-women-earn-80-percent-pay-white-m/,Bobby Scott," February 26, "," March 13, 2019",mostly-true
2097,2098,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",https://www.politifact.com/factchecks/2019/mar/12/elizabeth-warren/warren-faa-leans-boeing-fix-737-max-8-software/,Elizabeth Warren," March 12, 201"," March 12, 2019",TRUE
2098,2099,On phasing out the private-school voucher program in his first budget,https://www.politifact.com/factchecks/2019/mar/12/tony-evers/wisconsin-governor-takes-half-step-phasing-out-sch/,Tony Evers," February 19, "," March 12, 2019",half-flip
2099,2100,"""At $93 trillion, the Green New Deal would cost more than the entire recorded spending of the U.S. since the Constitution went into effect in 1789.""",https://www.politifact.com/factchecks/2019/mar/12/joni-ernst/joni-ernst-says-green-new-deal-would-cost-93-trill/,Joni Ernst," March 6, 2019"," March 12, 2019",FALSE
2100,2101,"Says Sinclair Lewis said, ""When fascism comes to America, it will be wrapped in the flag and carrying a cross.""",https://www.politifact.com/factchecks/2019/mar/12/viral-image/sinclair-lewis-might-have-liked-quote-about-fascis/,Viral image," March 5, 2019"," March 12, 2019",FALSE
2101,2102,"Says Alexandria Ocasio-Cortez ""was fired from ‘Hot Dog On A Stick?in 2008 ?for incompetence.""",https://www.politifact.com/factchecks/2019/mar/12/viral-image/aoc-wasnt-fired-hot-dog-stick-meme-says/,Viral image," March 8, 2019"," March 12, 2019",pants-fire
2102,2103,"Says Michelle Obama ""had a staff of 23"" while Melania Trump ""has a staff of 4.""",https://www.politifact.com/factchecks/2019/mar/12/turning-point-usa/did-michelle-obama-have-staff-23-while-melania-tru/,Turning Point USA," March 11, 201"," March 12, 2019",half-true
2103,2104,"""In February alone there were enough illegal immigrants who crossed the border to fill this (Kansas City Chiefs?Arrowhead) stadium.""",https://www.politifact.com/factchecks/2019/mar/12/blog-posting/fact-checking-claim-about-kansas-city-chiefs-stadi/,Bloggers," March 11, 201"," March 12, 2019",mostly-true
2104,2105,"""Trump's campaign manager, Paul Manafort, commits bank and tax fraud and gets 47 months. A homeless man, Fate Winslow, helped sell $20 of pot and got life in prison.""",https://www.politifact.com/factchecks/2019/mar/11/elizabeth-warren/comparing-manaforts-sentence-life-sentence-man-who/,Elizabeth Warren," March 7, 2019"," March 11, 2019",mostly-true
2105,2106,"Says Arrowhead Stadium ""is considered the loudest stadium in the world.""",https://www.politifact.com/factchecks/2019/mar/11/kiki-curls/it-true-kansas-citys-arrowhead-stadium-considered-/,Kiki Curls," January 22, 2"," March 11, 2019",mostly-true
2106,2107,"Says President Theodore Roosevelt said ""To anger a conservative, lie to him. To anger a liberal, tell him the truth.""",https://www.politifact.com/factchecks/2019/mar/11/facebook-posts/no-teddy-roosevelt-never-said-quote-about-liberals/,Facebook posts," March 8, 2019"," March 11, 2019",pants-fire
2107,2108,Says the percentage of officers the Chicago Police Board fired after hearing their cases or who chose to resign prior to a board hearing roughly doubled during her tenure.,https://www.politifact.com/factchecks/2019/mar/10/lori-lightfoot/fact-checking-lightfoots-record-police-discipline/,Lori Lightfoot," March 5, 2019"," March 10, 2019",mostly-true
2108,2109,"""Almost every day another 9/11 survivor or responder dies from a 9/11-related cancer.""",https://www.politifact.com/factchecks/2019/mar/09/kirsten-gillibrand/gillibrand-highlights-911-cancer-deaths/,Kirsten Gillibrand," February 25, "," March 9, 2019",barely-true
2109,2110,"""On a per capita basis, Irving-Las Colinas has more Fortune 500 companies than any city in the United States of America.""",https://www.politifact.com/factchecks/2019/mar/09/greg-abbott/which-city-has-most-fortune-500-companies-capita/,Greg Abbott," March 4, 2019"," March 9, 2019",mostly-true
2110,2111,"""The forest fires were so grotesque last year that we had the worst air in the world in Washington.""",https://www.politifact.com/factchecks/2019/mar/08/jay-inslee/fact-checking-presidential-candidate-jay-inslee-cl/,Jay Inslee," February 20, "," March 8, 2019",mostly-true
2111,2112,"When Congress sought documents from President Barack Obama, the White House ""didn’t do anything. They didn’t give one letter of the request. Many requests were made. They didn’t give a letter.""",https://www.politifact.com/factchecks/2019/mar/08/donald-trump/did-obamas-white-house-refuse-turn-over-any-docume/,Donald Trump," March 5, 2019"," March 8, 2019",pants-fire
2112,2113,"Says Winston Churchill said, ""When you’re 20, you care what everyone thinks, when you’re 40 you stop caring what everyone thinks, when you’re 60, you realize no one was ever thinking about you in the first place.""",https://www.politifact.com/factchecks/2019/mar/08/viral-image/no-winston-churchill-didnt-say-quote-about-age/,Viral image," March 6, 2019"," March 8, 2019",FALSE
2113,2114,"Says NC absentee voters have ""no way"" to know if ballots are delivered",https://www.politifact.com/factchecks/2019/mar/07/mitch-mcconnell/mcconnell-wrong-about-tracking-absentee-ballots-nc/,Mitch McConnell," February 26, "," March 7, 2019",barely-true
2114,2115,"Says Beto O’Rourke and Sen. Kirsten Gillibrand ""have both said they would tear down the wall if elected president.""",https://www.politifact.com/factchecks/2019/mar/07/america-first/did-beto-orourke-and-kirsten-gillibrand-say-theyd-/,America First," March 1, 2019"," March 7, 2019",half-true
2115,2116,"""Since 2011, the gap in high school graduation rates between African-American students and all students has been cut in half, from 6.4 percent to 3.1 percent.""",https://www.politifact.com/factchecks/2019/mar/07/phil-berger/berger-correct-high-school-graduation-rates-africa/,Phil Berger," February 25, "," March 7, 2019",TRUE
2116,2117,"""I’ve already traveled to Washington, D.C., and secured a historic commitment from the Trump administration to provide assistance to the communities that Michael battered.""",https://www.politifact.com/factchecks/2019/mar/07/ron-desantis/did-florida-gov-ron-desantis-get-historic-commitme/,Ron DeSantis," March 5, 2019"," March 7, 2019",barely-true
2117,2118,An HIV-positive Cadbury worker has been arrested after contaminating products with his blood.,https://www.politifact.com/factchecks/2019/mar/07/facebook-posts/no-cadbury-products-were-not-contaminated-workers-/,Facebook posts," February 28, "," March 7, 2019",pants-fire
2118,2119,"""We maintain this (Missouri highway) system with one of the lowest levels of funding in the country.""",https://www.politifact.com/factchecks/2019/mar/07/mike-parson/parson-correct-missouri-maintains-lowest-levels-hi/,Mike Parson," January 16, 2"," March 7, 2019",TRUE
2119,2120,Facebook video purports to show man flying a hoverboard at over 103 miles per hour.,https://www.politifact.com/factchecks/2019/mar/07/facebook-posts/yep-theres-guy-who-flies-around-jet-powered-hoverb/,Facebook posts," July 20, 2018"," March 7, 2019",mostly-true
2120,2121,"""Tax revenue went up, actually, $14 billion last year after the tax cut actually occurred. We had greater revenue.""",https://www.politifact.com/factchecks/2019/mar/07/james-lankford/did-tax-collections-rise-after-gop-law-case-weak/,James Lankford," March 6, 2019"," March 7, 2019",barely-true
2122,2123,"Says President Donald Trump ""came forth with a budget ?a trillion dollar cut in Medicaid, $500 billion to Medicare, and $72 billion for the Social Security Disability Fund.""",https://www.politifact.com/factchecks/2019/mar/06/bernie-sanders/sanders-attacks-trump-cuts-medicaid-medicar/,Bernie Sanders," February 25, "," March 6, 2019",half-true
2123,2124,Says author J.K. Rowling was the first billionaire to fall off Forbes billionaire list because of charitable giving.,https://www.politifact.com/factchecks/2019/mar/06/facebook-posts/yes-jk-rowling-was-knocked-forbes-billionaires-lis/,Facebook posts," March 1, 2019"," March 6, 2019",half-true
2124,2125,"""This is the largest cumulative surplus for the first six months of any fiscal year in state history.""",https://www.politifact.com/factchecks/2019/mar/06/jim-justice/jim-justice-right-about-record-surplus-2019/,Jim Justice," January 8, 20"," March 6, 2019",mostly-true
2125,2126,"""Just two weeks ago, Customs and Border Protection seized enough fentanyl to kill every person in West Virginia 32 times over.""",https://www.politifact.com/factchecks/2019/mar/06/carol-miller/would-one-fentanyl-seizure-be-able-kill-every-west/,Carol Miller," February 15, "," March 6, 2019",mostly-true
2126,2127,"""Right now, four in 10 public schools in our state are at least 50 years old.""",https://www.politifact.com/factchecks/2019/mar/05/roy-cooper/cooper-calls-attention-aging-north-carolina-school/,Roy Cooper," February 25, "," March 5, 2019",mostly-true
2127,2128,Says Bernie Sanders marched with Fidel Castro and Che Guevara in Cuba.,https://www.politifact.com/factchecks/2019/mar/05/facebook-posts/no-bernie-sanders-didnt-march-fidel-castro-cuba/,Facebook posts," February 28, "," March 5, 2019",pants-fire
2128,2129,"Says a challenge called ""Momo"" is appearing online in apps and children’s programs and threatens kids in an attempt to force them into performing harmful acts.",https://www.politifact.com/factchecks/2019/mar/05/facebook-posts/no-momo-challenge-isnt-real-its-just-another-inter/,Facebook posts," February 27, "," March 5, 2019",pants-fire
2129,2130,Says the WIC program was created by the Black Panthers to help feed single mothers and children in their communities.,https://www.politifact.com/factchecks/2019/mar/05/facebook-posts/no-black-panthers-did-not-create-wic-program/,Facebook posts," February 26, "," March 5, 2019",FALSE
2130,2131,"Says Bernie Sanders ""did not mention race or gender until 23 minutes into this speech"" announcing his 2023 presidential run.",https://www.politifact.com/factchecks/2019/mar/05/zerlina-maxwell/was-bernie-sanders-mute-race-gender-top-his-2023-k/,Zerlina Maxwell," March 2, 2019"," March 5, 2019",FALSE
2131,2132,"With the Trump tax law, ""70 percent of the benefits went to the wealthiest 1 percent.""",https://www.politifact.com/factchecks/2019/mar/05/sherrod-brown/do-70-benefits-trumps-tax-law-benefit-wealthiest-1/,Sherrod Brown," February 18, "," March 5, 2019",half-true
2132,2133,"""Obama settled 43,000 Somalian refugees in Minnesota. As of 2016, there were around 80,000. No wonder Ilhan Omar was elected. It was planned.""",https://www.politifact.com/factchecks/2019/mar/05/viral-image/meme-wrong-about-somali-americans-ilhan-omars-dist/,Viral image," February 28, "," March 5, 2019",pants-fire
2133,2134,A photograph of a black couple pictures the Sundance Kid.,https://www.politifact.com/factchecks/2019/mar/05/viral-image/no-isnt-photo-sundance-kid/,Viral image," February 26, "," March 5, 2019",FALSE
2134,2135,On not pursuing higher taxes,https://www.politifact.com/factchecks/2019/mar/05/tony-evers/tony-evers-reverses-course-pledge-raise-no-taxes/,Tony Evers," February 28, "," March 5, 2019",full-flop
2135,2136,"Virginia House ""Republicans have had more African-Americans on key committees than when the Democrats were in control.""",https://www.politifact.com/factchecks/2019/mar/05/chris-jones/gop-has-put-more-blacks-key-va-house-committees-di/,Chris Jones," February 23, "," March 5, 2019",TRUE
2136,2137,"""Chicago now has City ID Cards which allow illegal immigrants to vote in local, state & federal elections.""",https://www.politifact.com/factchecks/2019/mar/04/blog-posting/chicago-id-card-does-not-allow-illegal-voting-cont/,Bloggers," February 28, "," March 4, 2019",FALSE
2137,2138,Says Thai police found bodies of children with their organs removed.,https://www.politifact.com/factchecks/2019/mar/04/blog-posting/recycled-rumor-syrian-dead-children-cast-victims-a/,Bloggers," February 28, "," March 4, 2019",pants-fire
2138,2139,"Says taxing more services, taxing retirement income and increasing the flat-rate income tax would ""fall disproportionately on the working poor and the middle class.""",https://www.politifact.com/factchecks/2019/mar/03/jb-pritzker/pritzker-misleads-dismissing-revenue-alternatives/,JB Pritzker," February 20, "," March 3, 2019",barely-true
2139,2140,"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman.""",https://www.politifact.com/factchecks/2019/mar/02/kirsten-gillibrand/gillibrand-raises-issue-racial-disparity-maternal-/,Kirsten Gillibrand," February 7, 2"," March 2, 2019",mostly-true
2140,2141,"Says Sen. Bernie Sanders lived off welfare before he was elected, never held a ""9-5 job"" and hasn’t proposed a single bill that passed.",https://www.politifact.com/factchecks/2019/mar/01/facebook-posts/old-meme-wrong-bernie-sanders-resume-financ/,Facebook posts," February 19, "," March 1, 2019",FALSE
2141,2142,"Raising the federal minimum wage to $15 ""would give more than 40 million low-wage workers a raise, more than 25 percent of the U.S. workforce.""",https://www.politifact.com/factchecks/2019/mar/01/bernie-sanders/fact-checking-bernie-sanders-15-minimum-wage/,Bernie Sanders," February 26, "," March 1, 2019",half-true
2142,2143,"Says Chelsea Clinton’s bodyguard ""Jack Gordon"" was found dead in a river after telling ""damaging information"" to federal prosecutors.",https://www.politifact.com/factchecks/2019/mar/01/facebook-posts/facebook-post-shares-photo-actor-and-claims-its-ch/,Facebook posts," February 24, "," March 1, 2019",pants-fire
2143,2144,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation ?#ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",https://www.politifact.com/factchecks/2019/mar/01/ilhan-omar/cohen-and-abrams-double-standard-lying-congress/,Ilhan Omar," February 27, "," March 1, 2019",mostly-true
2144,2145,"Says President Donald Trump ""put out a $297 million contract to a vendor to show him how to hire Border Patrol. So, the first payment they made was $14.8 million. You know how many Border Patrol they hired with $14.8 million? Two.""",https://www.politifact.com/factchecks/2019/mar/01/henry-cuellar/fact-checking-texas-congressman-border-patrol-hiri/,Henry Cuellar," February 22, "," March 1, 2019",mostly-true
2145,2146,"""CNN uses the same girl in 3 different Refugee Crisis pictures being saved by 3 different men.""",https://www.politifact.com/factchecks/2019/mar/01/facebook-posts/facebook-post-claims-cnn-uses-same-girl-photos-sep/,Facebook posts," February 25, "," March 1, 2019",FALSE
2146,2147,"""We amass about $100 million in debt per hour, which means we've blown through 300, 400, 450 million dollars during this charade.""",https://www.politifact.com/factchecks/2019/feb/28/chip-roy/2019-united-states-will-rack-about-100-million-deb/,Chip Roy," February 27, "," February 28, 2019",mostly-true
2147,2148,"Says handing over arrested undocumented youth to ICE ""was an unintended consequence"" of a 2008 San Francisco policy that she supported.",https://www.politifact.com/factchecks/2019/feb/28/kamala-harris/kamala-harris-tries-rewrite-history-false-claim-sa/,Kamala Harris," February 24, "," February 28, 2019",FALSE
2148,2149,Says NC bill would change the grading scale.,https://www.politifact.com/factchecks/2019/feb/28/various-media-reports/nc-education-bill-wont-change-student-or-school-gr/,Various media reports 2," February 26, "," February 28, 2019",FALSE
2149,2150,"""The rainy day fund ?is $320 million. That's much more than what it has been in the past.""",https://www.politifact.com/factchecks/2019/feb/28/terry-katsma/state-lawmakers-claim-about-rainy-day-fund-money/,Terry Katsma," February 17, "," February 28, 2019",mostly-true
2150,2151,"""The Democrat(ic) position on abortion is now so extreme that they don’t mind executing babies AFTER birth.""",https://www.politifact.com/factchecks/2019/feb/28/donald-trump/fact-checking-donald-trumps-tweet-saying-democrats/,Donald Trump," February 25, "," February 28, 2019",FALSE
2151,2152,"""We have a president who wanted to throw 32 million people off of the health care they had.""",https://www.politifact.com/factchecks/2019/feb/28/bernie-sanders/sanders-trump-wanted-cut-health-care-32-million/,Bernie Sanders," February 25, "," February 28, 2019",half-true
